Potential ID,FreshDesk Ticket Number,Training Name,Number of Users,Client,Month,Year,Received On,Private Cloud ,Cloud Type,TP Lab Type,Lab Name,Requester,Lab Status,Start Date,End Date,Input Cost Per User,Selling Cost Per User,Total Amount,Line of Business,Invoice Details
PF-100730,,Azure-OpenAI,1,Cognizant-NFT,April,2025,,,AZURE,,Azure-OpenAI,Vandhitha,Delivery Completed,04-01-2025,4/30/2025,855.61,1000,1000,Standalone,
PF-0107307,,Azure Lab,34,Hexaware,April,2025,,,AZURE,,Azure Lab,Dhamo,Delivery Completed,04-03-2025,07-02-2025,5000,8500,289000,Standalone,
PF-100730,,Azure-OpenAI,3,Cognizant-NFT,April,2025,,,AZURE,,Azure-OpenAI,Vandhitha,Delivery Completed,04-09-2025,05-07-2025,855,1000,3000,Standalone,
PF-0102955,,Azure Lab,1,IBM,April,2025,,,AZURE,,Azure Lab,Lokesh,Delivery Completed,04-08-2025,07-06-2025,855,855,855,Standalone,
IIHTELSTECH69706,,Cassandra,35,Amdocs,April,2025,,,AZURE,,Cassandra,Muzammil,Delivery Completed,04-09-2025,4/26/2025,7358,8829,309015,Standalone,
PF101366,,DataBricks,1,Virtusa,April,2025,,,AZURE,,DataBricks,Ameet Khemani,Delivery Completed,04-10-2025,6/30/2025,4302,4302,4302,Standalone,
PF-0107574,,CTI,1,Cognizant,April,2025,,,AZURE,,CTI,Geetika(Cognizant),Delivery Completed,4/15/2025,4/29/2025,4400,4400,4400,Standalone,
PF-100730,,Azure-OpenAI,1,Cognizant-NFT,April,2025,,,AZURE,,Azure-OpenAI,Vandhitha,Delivery Completed,4/16/2025,5/14/2025,850,1000,1000,Standalone,
PF-0106922,,AZ-400,15,Socgen,April,2025,,,AZURE,,AZ-400,Mani,Delivery Completed,4/14/2025,4/23/2025,4250,4250,59500,Standalone,
PF-0107574,,AIA,43,Cognizant,April,2025,,,AZURE,,AIA,Geetika(Cognizant),Delivery Completed,4/17/2025,5/16/2025,8470,8470,364210,Standalone,
PF-0107574,,CTI,26,Cognizant,April,2025,,,AZURE,,CTI,Geetika(Cognizant),Delivery Completed,4/18/2025,05-02-2025,4400,4400,114400,Standalone,
PF-0107574,,EPS,15,Cognizant,April,2025,,,AZURE,,EPS,Geetika(Cognizant),Delivery Completed,4/21/2025,5/20/2025,8470,8470,127050,Standalone,
PF-0107012,,AZ-104,14,Socgen,April,2025,,,AZURE,,AZ-104,Mani,Delivery Completed,4/22/2025,4/28/2025,1750,4250,55250,Standalone,
PF-0106923,,AZ-204,25,Socgen,April,2025,,,AZURE,,AZ-204,Mani,Delivery Completed,4/22/2025,4/28/2025,1950,4250,102000,Standalone,
PF-010754,,Azure-Lab,18,UST,April,2025,,,AZURE,,Azure-Lab,Sarath,Delivery Completed,4/21/2025,6/30/2025,25560,29394,529092,Standalone,
PF-100730,,Azure-OpenAI,2,Cognizant-NFT,April,2025,,,AZURE,,Azure-OpenAI,Vandhitha,Delivery Completed,4/23/2025,5/21/2025,850,1000,2000,Standalone,
PF-0107574,,CTI,34,Cognizant,April,2025,,,AZURE,,CTI,Geetika(Cognizant),Delivery Completed,4/22/2025,5/21/2025,8470,8470,287980,Standalone,
PF-0107574,,CTI,41,Cognizant,April,2025,,,AZURE,,CTI,Geetika(Cognizant),Delivery Completed,4/23/2025,5/22/2025,8470,8470,347270,Standalone,
PF-0107574,,AIA,1,Cognizant,April,2025,,,AZURE,,AIA,Geetika(Cognizant),Delivery Completed,4/25/2025,5/24/2025,8470,8470,8470,Standalone,
PF-100730,,Azure-OpenAI,3,Cognizant-NFT,April,2025,,,AZURE,,Azure-OpenAI,Vandhitha,Delivery Completed,4/30/2025,5/28/2025,852,1000,3000,Standalone,
PF-0107193,,Kubernetes,26,Amdocs,May,2025,,,AZURE,,Kubernetes,Muzammil ,Delivery Completed,05-05-2025,5/15/2025,4215,5058,126450,Standalone,
PF-0107594,,IOT-Azure,4,Cognizant,May,2025,,,AZURE,,IOT-Azure,Geetika(Cognizant),Delivery Completed,05-07-2025,5/22/2025,3180,3180,12720,Standalone,
PF-100619,,AWS-Lab,1,Cognizant-FSE,May,2025,,,AZURE,,AWS-Lab,Goutham,Delivery Completed,05-07-2025,08-07-2025,8500,8500,8500,Standalone,
PF-0107332,,Azure-Lab,10,PWC,May,2025,,,AZURE,,Azure-Lab,Fatehnoor,Delivery Completed,05-07-2025,05-11-2025,4250,4250,42500,Standalone,
PF-0107485,,AZ-204,17,Socgen,May,2025,,,AZURE,,AZ-204,Mani,Delivery Completed,5/14/2025,5/20/2025,1950,4250,72250,Standalone,
PF-0107257,,AZ-204,19,Socgen,May,2025,,,AZURE,,AZ-204,Mani,Delivery Completed,5/19/2025,5/23/2025,1950,4250,76500,Standalone,
PF-0107484,,AZ-500,26,Socgen,May,2025,,,AZURE,,AZ-500,Mani,Delivery Completed,5/19/2025,5/23/2025,1650,4250,110500,Standalone,
PF-0107594,,EPS,15,Cognizant,May,2025,,,AZURE,,EPS,Geetika(Cognizant),Delivery Completed,5/21/2025,6/19/2025,8470,8470,127050,Standalone,
PF-0107504,,Data Science & AI,20,Capgemini-Row,May,2025,,,AZURE,,Data Science & AI,Noor,Delivery Completed,5/20/2025,5/29/2025,3400,4080,81600,Standalone,
PF-0107594,,AIA,98,Cognizant,May,2025,,,AZURE,,AIA,Geetika(Cognizant),Delivery Completed,5/21/2025,06-04-2025,3180,3180,311640,Standalone,
PF100619,,FSE-AWS,1,Cognizant-FSE,May,2025,,,AZURE,,FSE-AWS,Goutham,Delivery Completed,5/20/2025,8/19/2025,8560,8560,8560,Standalone,
PF-0107594,,AIA,45,Cognizant,May,2025,,,AZURE,,AIA,Geetika(Cognizant),Delivery Completed,5/21/2025,6/19/2025,8470,8470,381150,Standalone,
PF-0107504,,AI/ML,26,Cognizant,June,2025,,,AZURE,,AI/ML,Goutham,Delivery Completed,06-02-2025,6/20/2025,4271,4271,111046,Standalone,
PF-0107197,,Docker,31,Amdocs,June,2025,,,AZURE,,Docker,Noor,Delivery Completed,06-02-2025,06-05-2025,2134,2550,76500,Standalone,
PF-0107594,,CBD DATA,2,Cognizant,June,2025,,,AZURE,,CBD DATA,Geetika(Cognizant),Delivery Completed,06-02-2025,6/16/2025,4400,4400,8800,Standalone,
PF-0107594,,AIA,18,Cognizant,June,2025,,,AZURE,,AIA,Geetika(Cognizant),Delivery Completed,06-03-2025,6/18/2025,4400,4400,79200,Standalone,
PF-0107959,,Data Engineering,22,Hexaware,June,2025,,,AZURE,,Data Engineering,Manojit,Delivery Completed,06-04-2025,7/25/2025,2571,3085,67870,Standalone,
PF-0107960,,Azure-Labs,70,Hexaware,June,2025,,,AZURE,,Azure-Labs,Manojit,Delivery Completed,06-11-2025,2/27/2026,5000,8500,595000,Standalone,
PF-0107321,,AZ-204,13,Socgen,June,2025,,,AZURE,,AZ-204,Roshan,Delivery Completed,06-05-2025,6/13/2025,1950,4250,51000,Standalone,
PF-0107633,,Azure Developer Full Stack,11,IBM,June,2025,,,AZURE,,Azure Developer Full Stack,Bhargavi,Delivery Completed,06-09-2025,6/23/2025,3425,4282,47102,Standalone,
PF-0108017,,Designathon,50,Hexaware,June,2025,,,AZURE,,Designathon,Manojit,Delivery Completed,06-10-2025,11-10-2025,5000,8500,425000,Standalone,
PF-0108043,,Azure,38,Hexaware,June,2025,,,AZURE,,Azure,Athul,Delivery Completed,6/13/2025,11-11-2025,5000,8500,323000,Standalone,
PF-0107784,,AZ-204,22,Socgen,June,2025,,,AZURE,,AZ-204,Roshan,Delivery Completed,6/16/2025,6/20/2025,1950,4250,89250,Standalone,
PF-0107991,,DataBricks,1,Mphasis,June,2025,,,AZURE,,DataBricks,Bhargavi,Delivery Completed,06-02-2025,6/30/2025,6200,6200,6200,Standalone,
PF-0107589,,Azure AI Foundry,1,Evoke,June,2025,,,AZURE,,Azure AI Foundry,Ravi,Delivery Completed,6/30/2025,07-11-2025,8610,8610,8610,Standalone,
PF-0107106,,CBPPE,28,Wipro,June,2025,,,AZURE,,CBPPE,Rohith,Delivery Completed,6/25/2025,07-09-2025,1721,1721,48188,Standalone,
PF-0107892,,AZ-400,21,Socgen,June,2025,,,AZURE,,AZ-400,Roshan,Delivery Completed,6/23/2025,6/27/2025,4250,4250,85000,Standalone,
PF-0103230,,Cloud Operations,16,Bharath Airtel,July,2025,,,AZURE,,Cloud Operations,Arthi,Delivery Completed,02-07-2025,30-07-2025,,,68800,Standalone,
PF-0107629,,Azure,1,Mphasis,July,2025,,,AZURE,,Azure,Bhargavi,Delivery Completed,03-07-2025,30-07-2025,,,3000,Standalone,
PF-0102955,,Azure,1,IBM,July,2025,,,AZURE,,Azure,Lokesh,Delivery Completed,03-07-2025,02-10-2025,,,860,Standalone,
PF-0107646,,Jenkins,21,MassMutual,July,2025,,,AZURE,,Jenkins,Noor,Delivery Completed,14-07-2025,18-07-2025,,,32000,Standalone,
PF-0108135,,AZ-500,17,Socgen,July,2025,,,AZURE,,AZ-500,Roshan,Delivery Completed,14-07-2025,18-07-2025,,,68000,Standalone,
PF100619,,Azure-FSE,2,Cognizant-FSE,July,2025,,,AZURE,,Azure-FSE,Goutham,Delivery Completed,14-07-2025,12-10-2025,,,17000,Standalone,
PF-0108333,,Advanced Python with AI,19,KPMG,July,2025,,,AZURE,,Advanced Python with AI,Rakshith,Delivery Completed,23-07-2025,30-07-2025,,,18000,Standalone,
PF-0108349,,Azure Developer Full Stack,11,IBM,July,2025,,,AZURE,,Azure Developer Full Stack,Bhargavi,Delivery Completed,21-07-2025,09-08-2025,,,36080,Standalone,
PF-0108136,,AZ-204,26,Socgen,July,2025,,,AZURE,,AZ-204,Roshan,Delivery Completed,21-07-2025,25-07-2025,,,106250,Standalone,
PF-010754,,Devops,16,UST,July ,2025,,,AZURE,,Devops,Rafique,Delivery Completed,01-07-2025,03-07-2025,,,78192,Standalone,
PF-0108717,,AIA,21,Cognizant,July ,2025,,,AZURE,,AIA,Mariya(Cognizant),Delivery Completed,23-07-2025,06-08-2025,,,92400,Standalone,
PF-0108717,,AIA,17,Cognizant,July ,2025,,,AZURE,,AIA,Mariya(Cognizant),Delivery Completed,28-07-2025,26-08-2025,,,143990,Standalone,
PF100619,,Azure-Lab,1,Cognizant-FSE,July ,2025,,,AZURE,,Azure-Lab,Goutham,Delivery Completed,25-07-2025,24-10-2025,,,8600,Standalone,
PF-0102955,,Azure-Lab,1,IBM,July ,2025,,,AZURE,,Azure-Lab,Lokesh,Delivery Completed,28-07-2025,26-10-2025,,,820,Standalone,
PF-0105766,,Azure Subscription ,1,Wipro,July ,2025,,,AZURE,,Azure Subscription ,Kavithaa,Delivery Completed,11-07-2025,08-08-2025,,,1300,Standalone,
PF-0105766,,Azure Subscription ,17,Wipro,July ,2025,,,AZURE,,Azure Subscription ,Kavithaa,Delivery Completed,24-07-2025,08-08-2025,,,7650,Standalone,
PF-0105766,,Azure Subscription ,41,Wipro,July ,2025,,,AZURE,,Azure Subscription ,Kavithaa,Delivery Completed,30-07-2025,15-08-2025,,,25685,Standalone,
PF-0108718,,AIA,75,Cognizant,Aug,2025,,,AZURE,,AIA,Mariya(Cognizant),Delivery Completed,01-08-2025,30-08-2025,,,635250,Standalone,
PF-0108052,,AZ-900,21,Mass Mutual,Aug,2025,,,AZURE,,AZ-900,Noor,Delivery Completed,04-08-2025,08-08-2025,,,180000,Standalone,
PF100619,,FSE-Azure,2,Cognizant-FSE,Aug,2025,,,AZURE,,FSE-Azure,Goutham,Delivery Completed,01-08-2025,29-10-2025,,,17000,Standalone,
PF-0108653,,Data Engineering,45,Hexaware,Aug,2025,,,AZURE,,Data Engineering,Athul,,04-08-2025,04-08-2026,,,450000,Standalone,
PF-0108718,,AIA,41,Cognizant,Aug,2025,,,AZURE,,AIA,Mariya(Cognizant),Delivery Completed,07-08-2025,05-09-2025,,,347270,Standalone,
PF-0109090,,Azure-Lab,1,Wipro,Aug,2025,,,AZURE,,Azure-Lab,Soumya(Wipro),Delivery Completed,11-08-2025,15-08-2025,,,450,Standalone,
PF-0106254,,AIML,24,EY-India,Aug,2025,,,AZURE,,AIML,Muzammil,Delivery Completed,11-08-2025,30-08-2025,,,120360,Standalone,
PF-0102955,,Azure-Lab,1,IBM,Aug,2025,,,AZURE,,Azure-Lab,Lokesh,Delivery Completed,12-08-2025,10-11-2025,,,820,Standalone,
PF-0108718,,ADM,1,Cognizant,Aug,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,18-08-2025,01-09-2025,,,3860.7,Standalone,
PF-0108718,,L&D,1,Cognizant,Aug,2025,,,AZURE,,L&D,Mariya(Cognizant),Delivery Completed,18-08-2025,16-09-2025,,,6430,Standalone,
PF-0108488,,AZ-400,20,Socgen,Aug,2025,,,AZURE,,AZ-400,Roshan,Delivery Completed,18-08-2025,22-08-2025,,,85000,Standalone,
PF100619,,FSE-Azure,2,Cognizant-FSE,Aug,2025,,,AZURE,,FSE-Azure,Goutham,Delivery Completed,21-08-2025,20-09-2025,,,17000,Standalone,
PF-0102955,,Azure-Lab,1,IBM,Aug,2025,,,AZURE,,Azure-Lab,Lokesh,Delivery Completed,25-08-2025,22-11-2025,,,820,Standalone,
PF-0108657,,CDC-Azure,265,Wipro,Aug,2025,,,AZURE,,CDC-Azure,Sanjeed Nawaz,Delivery Completed,29-08-2025,30-08-2025,,,115275,Standalone,
PF-0109091,,Azure-Lab,1,Cognizant,Sep,2025,,,AZURE,,Azure-Lab,Mariya(Cognizant),Delivery Completed,01-09-2025,30-09-2025,,,7406.9,Standalone,
PF-0107297,,Data Engineer,25,Amdocs,Sep,2025,,,AZURE,,Data Engineer,Muzammil,Delivery Completed,01-09-2025,16-09-2025,,,167640,VILT,
PF-0109091,,Azure-ADM,26,Cognizant,Sep,2025,,,AZURE,,Azure-ADM,Mariya(Cognizant),Delivery Completed,02-09-2025,01-10-2025,,,220220,Standalone,
PF-0109091,,Azure-MDU,5,Cognizant,Sep,2025,,,AZURE,,Azure-MDU,Mariya(Cognizant),Delivery Completed,02-09-2025,31-10-2025,,,76134.5,Standalone,
PF-0109091,,Azure-MDU,3,Cognizant,Sep,2025,,,AZURE,,Azure-MDU,Mariya(Cognizant),Delivery Completed,02-09-2025,31-10-2025,,,37620,Standalone,
PF-0108566,,AVD,11,CGI,Sep,2025,,,AZURE,,AVD,Felix,Delivery Completed,02-09-2025,10-09-2025,,,66000,VILT,
PF-0107437,,Analytics Skills,26,Straive,Sep,2025,,,AZURE,,Analytics Skills,Ayman Rashad,Delivery Completed,08-09-2025,10-10-2025,,,34632,VILT,
PF-0108892,,Data Engineering,16,Hexaware,Sep,2025,,,AZURE,,Data Engineering,Athual,,05-09-2025,05-09-2026,,,160000,Standalone,
PF-0109603 ,,Azure-Lab,11,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,04-09-2025,10-09-2025,,,10773,Standalone,
PF-0109091,,HPC,50,Cognizant,Sep,2025,,,AZURE,,HPC,Mariya(Cognizant),Delivery Completed,12-09-2025,26-09-2025,,,220000,Standalone,
PF-0108591,,Python-Azure,15,Bosch,Sep,2025,,,AZURE,,Python-Azure,Aarti,Delivery Completed,12-09-2025,16-09-2025,,,30000,Standalone,
PF-0109091,,MDU,6,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,75240,Standalone,
PF-0109091,,MDU,4,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,60907.6,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109603,,Azure-Lab,1,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,16-09-2025,27-09-2025,,,852,Standalone,
PF-0109603,,Azure-Lab,43,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,18-09-2025,03-10-2025,,,26665,Standalone,
PF-0109369,,OpenAI,1,Mphasis,Sep,2025,,,AZURE,,OpenAI,Bhargavi,Delivery Completed,19-09-2025,18-10-2025,,,1763,Standalone,
PF-0109091,,QEA,16,Cognizant,Sep,2025,,,AZURE,,QEA,Mariya(Cognizant),Delivery Completed,22-09-2025,06-10-2025,,,24800,Standalone,
PF-0109091,,ADM,1,Cognizant,Sep,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,24-09-2025,22-11-2025,,,21042,Standalone,
PF100619,,Azure-FSE,1,Cognizant-FSE,Sep,2025,,,AZURE,,Azure-FSE,Goutham,Delivery Completed,26-09-2025,24-12-2025,,,8500,Standalone,
